store_id,week,week_start,units,revenue,avg_price,promotion,store_size_sqft,temperature,precipitation,log1p_units,price_index,month,large_store,region_North,region_South,region_West
S001,1,2026-01-01,166.0,1641.74,9.89,0,1706,47.5,0.28,5.117993812416755,0.9772727272727274,1,0,1,0,0
S001,2,2026-01-08,167.0,1573.14,9.42,0,1706,49.2,0.59,5.123963979403259,0.9308300395256918,1,0,1,0,0
S001,3,2026-01-15,177.0,1612.47,9.11,0,1706,48.9,0.48,5.181783550292085,0.900197628458498,1,0,1,0,0
S001,4,2026-01-22,161.0,1503.74,9.34,0,1706,50.6,0.04,5.087596335232384,0.9229249011857709,1,0,1,0,0
S001,5,2026-02-01,225.0,2074.5,9.22,1,1706,53.1,0.99,5.420534999272286,0.9110671936758895,2,0,1,0,0
S001,6,2026-02-08,179.0,1745.25,9.75,0,1706,57.3,1.23,5.19295685089021,0.9634387351778657,2,0,1,0,0
S001,7,2026-02-15,177.0,1757.61,9.93,0,1706,58.2,0.0,5.181783550292085,0.9812252964426877,2,0,1,0,0
S001,8,2026-02-22,187.0,1705.44,9.12,0,1706,59.3,0.99,5.236441962829949,0.9011857707509882,2,0,1,0,0
S001,9,2026-03-01,203.0,1932.56,9.52,0,1706,60.4,1.16,5.318119993844216,0.9407114624505929,3,0,1,0,0
S001,10,2026-03-08,242.0,2262.7,9.35,1,1706,68.6,0.83,5.493061443340548,0.9239130434782609,3,0,1,0,0
S001,11,2026-03-15,209.0,2025.21,9.69,0,1706,66.1,0.91,5.3471075307174685,0.9575098814229249,3,0,1,0,0
S001,12,2026-03-22,214.0,2054.4,9.6,0,1706,69.0,0.93,5.3706380281276624,0.9486166007905139,3,0,1,0,0
S002,1,2026-01-01,164.0,1656.4,10.1,0,2043,41.8,0.19,5.10594547390058,0.9980237154150198,1,0,0,1,0
S002,2,2026-01-08,178.0,1685.66,9.47,0,2043,50.0,0.0,5.187385805840755,0.9357707509881424,1,0,0,1,0
S002,3,2026-01-15,170.0,1599.7,9.41,0,2043,51.6,0.27,5.14166355650266,0.9298418972332017,1,0,0,1,0
S002,4,2026-01-22,209.0,1972.96,9.44,1,2043,48.4,0.75,5.3471075307174685,0.932806324110672,1,0,0,1,0
S002,5,2026-02-01,189.0,1808.73,9.57,0,2043,52.5,0.38,5.247024072160486,0.9456521739130436,2,0,0,1,0
S002,6,2026-02-08,186.0,1884.18,10.13,0,2043,58.7,0.59,5.231108616854587,1.0009881422924902,2,0,0,1,0
S002,7,2026-02-15,212.0,2136.96,10.08,0,2043,55.4,1.3,5.3612921657094255,0.9960474308300397,2,0,0,1,0
S002,8,2026-02-22,196.0,1858.08,9.48,0,2043,58.5,1.16,5.2832037287379885,0.9367588932806326,2,0,0,1,0
S002,9,2026-03-01,226.0,2176.38,9.63,1,2043,61.7,1.3,5.424950017481403,0.9515810276679844,3,0,0,1,0
S002,10,2026-03-08,209.0,1947.88,9.32,0,2043,61.7,1.09,5.3471075307174685,0.9209486166007906,3,0,0,1,0
S002,11,2026-03-15,218.0,2051.38,9.41,0,2043,67.4,1.25,5.389071729816501,0.9298418972332017,3,0,0,1,0
S002,12,2026-03-22,207.0,1964.43,9.49,0,2043,70.5,0.71,5.337538079701318,0.9377470355731227,3,0,0,1,0
S003,1,2026-01-01,181.0,1866.11,10.31,0,2425,43.0,0.0,5.204006687076795,1.0187747035573125,1,0,0,0,0
S003,2,2026-01-08,168.0,1601.04,9.53,0,2425,45.4,0.95,5.1298987149230735,0.941699604743083,1,0,0,0,0
S003,3,2026-01-15,218.0,2071.0,9.5,1,2425,53.0,0.34,5.389071729816501,0.9387351778656127,1,0,0,0,0
S003,4,2026-01-22,203.0,1956.92,9.64,0,2425,50.6,1.29,5.318119993844216,0.9525691699604745,1,0,0,0,0
S003,5,2026-02-01,207.0,1949.94,9.42,0,2425,52.5,0.55,5.337538079701318,0.9308300395256918,2,0,0,0,0
S003,6,2026-02-08,203.0,2046.24,10.08,0,2425,54.7,0.15,5.318119993844216,0.9960474308300397,2,0,0,0,0
S003,7,2026-02-15,226.0,2178.64,9.64,0,2425,58.1,1.04,5.424950017481403,0.9525691699604745,2,0,0,0,0
S003,8,2026-02-22,231.0,2252.25,9.75,1,2425,61.1,0.45,5.44673737166631,0.9634387351778657,2,0,0,0,0
S003,9,2026-03-01,204.0,2070.6,10.15,0,2425,65.7,0.91,5.3230099791384085,1.0029644268774704,3,0,0,0,0
S003,10,2026-03-08,221.0,2207.79,9.99,0,2425,62.6,0.3,5.402677381872279,0.9871541501976285,3,0,0,0,0
S003,11,2026-03-15,221.0,2114.97,9.57,0,2425,66.3,1.26,5.402677381872279,0.9456521739130436,3,0,0,0,0
S003,12,2026-03-22,210.0,2068.5,9.85,0,2425,69.8,0.96,5.351858133476067,0.9733201581027668,3,0,0,0,0
S004,1,2026-01-01,172.0,1783.64,10.37,0,2744,43.4,0.12,5.153291594497779,1.024703557312253,1,1,0,0,1
S004,2,2026-01-08,213.0,2085.27,9.79,1,2744,46.8,0.41,5.365976015021851,0.967391304347826,1,1,0,0,1
S004,3,2026-01-15,199.0,2051.69,10.31,0,2744,45.9,2.1,5.298317366548036,1.0187747035573125,1,1,0,0,1
S004,4,2026-01-22,190.0,1911.4,10.06,0,2744,48.8,0.43,5.25227342804663,0.9940711462450594,1,1,0,0,1
S004,5,2026-02-01,199.0,1972.09,9.91,0,2744,52.1,1.35,5.298317366548036,0.9792490118577076,2,1,0,0,1
S004,6,2026-02-08,211.0,2078.35,9.85,0,2744,50.5,0.0,5.356586274672012,0.9733201581027668,2,1,0,0,1
S004,7,2026-02-15,228.0,2282.28,10.01,1,2744,60.0,1.37,5.43372200355424,0.9891304347826088,2,1,0,0,1
S004,8,2026-02-22,205.0,2134.05,10.41,0,2744,63.0,1.63,5.327876168789581,1.0286561264822136,2,1,0,0,1
S004,9,2026-03-01,217.0,2167.83,9.99,0,2744,64.8,1.21,5.384495062789089,0.9871541501976285,3,1,0,0,1
S004,10,2026-03-08,204.0,1986.96,9.74,0,2744,59.9,1.11,5.3230099791384085,0.9624505928853756,3,1,0,0,1
S004,11,2026-03-15,239.0,2502.33,10.47,0,2744,64.9,0.1,5.480638923341991,1.0345849802371543,3,1,0,0,1
S004,12,2026-03-22,256.0,2616.32,10.22,1,2744,65.0,1.33,5.54907608489522,1.0098814229249014,3,1,0,0,1
S005,1,2026-01-01,231.0,2312.31,10.01,1,3120,47.5,0.28,5.44673737166631,0.9891304347826088,1,1,1,0,0
S005,2,2026-01-08,224.0,2226.56,9.94,0,3120,49.2,0.59,5.41610040220442,0.9822134387351779,1,1,1,0,0
S005,3,2026-01-15,189.0,1958.04,10.36,0,3120,48.9,0.48,5.247024072160486,1.023715415019763,1,1,1,0,0
S005,4,2026-01-22,218.0,2321.7,10.65,0,3120,50.6,0.04,5.389071729816501,1.0523715415019763,1,1,1,0,0
S005,5,2026-02-01,207.0,2094.84,10.12,0,3120,53.1,0.99,5.337538079701318,1.0,2,1,1,0,0
S005,7,2026-02-15,205.0,2043.85,9.97,0,3120,58.2,0.0,5.327876168789581,0.9851778656126483,2,1,1,0,0
S005,8,2026-02-22,221.0,2170.22,9.82,0,3120,59.3,0.99,5.402677381872279,0.9703557312252965,2,1,1,0,0
S005,9,2026-03-01,226.0,2323.28,10.28,0,3120,60.4,1.16,5.424950017481403,1.0158102766798418,3,1,1,0,0
S005,10,2026-03-08,224.0,2311.68,10.32,0,3120,68.6,0.83,5.41610040220442,1.0197628458498025,3,1,1,0,0
S005,11,2026-03-15,249.0,2529.84,10.16,1,3120,66.1,0.91,5.521460917862246,1.0039525691699607,3,1,1,0,0
S005,12,2026-03-22,219.0,2260.08,10.32,0,3120,69.0,0.93,5.393627546352362,1.0197628458498025,3,1,1,0,0
S006,3,2026-01-15,215.0,2294.05,10.67,0,3631,51.6,0.27,5.375278407684165,1.0543478260869565,1,1,0,1,0
S006,4,2026-01-22,222.0,2308.8,10.4,0,3631,48.4,0.75,5.407171771460119,1.0276679841897234,1,1,0,1,0
S006,5,2026-02-01,250.0,2677.5,10.71,1,3631,52.5,0.38,5.5254529391317835,1.0583003952569172,2,1,0,1,0
S006,6,2026-02-08,226.0,2402.38,10.63,0,3631,58.7,0.59,5.424950017481403,1.0503952569169963,2,1,0,1,0
S006,7,2026-02-15,216.0,2337.12,10.82,0,3631,55.4,1.3,5.37989735354046,1.0691699604743083,2,1,0,1,0
S006,8,2026-02-22,237.0,2398.44,10.12,0,3631,58.5,1.16,5.472270673671475,1.0,2,1,0,1,0
S006,9,2026-03-01,235.0,2467.5,10.5,0,3631,61.7,1.3,5.4638318050256105,1.0375494071146245,3,1,0,1,0
S006,10,2026-03-08,258.0,2654.82,10.29,1,3631,61.7,1.09,5.556828061699537,1.016798418972332,3,1,0,1,0
S006,11,2026-03-15,246.0,2629.74,10.69,0,3631,67.4,1.25,5.5093883366279774,1.0563241106719368,3,1,0,1,0
S006,12,2026-03-22,245.0,2474.5,10.1,0,3631,70.5,0.71,5.5053315359323625,0.9980237154150198,3,1,0,1,0
S007,1,2026-01-01,222.0,2366.52,10.66,0,3951,43.0,0.0,5.407171771460119,1.0533596837944665,1,1,0,0,0
S007,2,2026-01-08,229.0,2441.14,10.66,0,3951,45.4,0.95,5.438079308923196,1.0533596837944665,1,1,0,0,0
S007,4,2026-01-22,247.0,2620.67,10.61,1,3951,50.6,1.29,5.5134287461649825,1.0484189723320159,1,1,0,0,0
S007,5,2026-02-01,224.0,2403.52,10.73,0,3951,52.5,0.55,5.41610040220442,1.0602766798418974,2,1,0,0,0
S007,6,2026-02-08,240.0,2481.6,10.34,0,3951,54.7,0.15,5.484796933490655,1.0217391304347827,2,1,0,0,0
S007,7,2026-02-15,263.0,2803.58,10.66,0,3951,58.1,1.04,5.575949103146316,1.0533596837944665,2,1,0,0,0
S007,8,2026-02-22,226.0,2427.24,10.74,0,3951,61.1,0.45,5.424950017481403,1.0612648221343874,2,1,0,0,0
S007,9,2026-03-01,266.0,2758.42,10.37,1,3951,65.7,0.91,5.58724865840025,1.024703557312253,3,1,0,0,0
S007,10,2026-03-08,252.0,2646.0,10.5,0,3951,62.6,0.3,5.53338948872752,1.0375494071146245,3,1,0,0,0
S007,11,2026-03-15,243.0,2519.91,10.37,0,3951,66.3,1.26,5.497168225293202,1.024703557312253,3,1,0,0,0
S007,12,2026-03-22,266.0,2899.4,10.9,0,3951,69.8,0.96,5.58724865840025,1.0770750988142295,3,1,0,0,0
S008,1,2026-01-01,225.0,2470.5,10.98,0,4293,43.4,0.12,5.420534999272286,1.0849802371541504,1,1,0,0,1
S008,2,2026-01-08,233.0,2409.22,10.34,0,4293,46.8,0.41,5.455321115357702,1.0217391304347827,1,1,0,0,1
S008,3,2026-01-15,251.0,2632.99,10.49,1,4293,45.9,2.1,5.529429087511423,1.0365612648221345,1,1,0,0,1
S008,4,2026-01-22,245.0,2557.8,10.99,0,4293,48.8,0.43,5.5053315359323625,1.0859683794466404,1,1,0,0,1
S008,5,2026-02-01,243.0,2699.73,11.11,0,4293,52.1,1.35,5.497168225293202,1.0978260869565217,2,1,0,0,1
S008,6,2026-02-08,254.0,2730.5,10.75,0,4293,50.5,0.0,5.541263545158426,1.0622529644268774,2,1,0,0,1
S008,7,2026-02-15,249.0,2646.87,10.63,0,4293,60.0,1.37,5.521460917862246,1.0503952569169963,2,1,0,0,1
S008,8,2026-02-22,270.0,2951.1,10.93,1,4293,63.0,1.63,5.602118820879701,1.0800395256916997,2,1,0,0,1
S008,9,2026-03-01,271.0,2964.74,10.94,0,4293,64.8,1.21,5.605802066295998,1.0810276679841897,3,1,0,0,1
S008,10,2026-03-08,260.0,2857.4,10.99,0,4293,59.9,1.11,5.564520407322694,1.0859683794466404,3,1,0,0,1
S008,11,2026-03-15,267.0,2840.88,10.64,0,4293,64.9,0.1,5.5909869805108565,1.0513833992094863,3,1,0,0,1
S008,12,2026-03-22,272.0,3011.04,11.07,0,4293,65.0,1.33,5.60947179518496,1.0938735177865613,3,1,0,0,1
